"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Bilibili Gaming",11,4,7,29.6,148,173,0.86,0.99,,"-0.7%",,,,"64%",,,,,,"46%",,,"40%","50.0%","50.0%",3.21,1.34,1.54
"EDward Gaming",14,8,6,31.6,188,158,1.19,0.78,,"1.0%",,,,"64%",,,,,,"58%",,,"57%","50.4%","51.0%",3.2,1.2,1.74
"JD Gaming",13,9,4,29.3,153,135,1.13,0.75,,"6.1%",,,,"38%",,,,,,"60%",,,"71%","50.7%","55.3%",3.36,1.25,1.61
"LNG Esports",23,13,10,31.7,309,243,1.27,0.75,,"-0.1%",,,,"57%",,,,,,"55%",,,"46%","49.8%","47.0%",3.39,1.42,1.55
"Ninjas in Pyjamas",8,4,4,29.5,95,104,0.91,0.84,,"-2.7%",,,,"50%",,,,,,"45%",,,"45%","49.7%","48.7%",3.23,1.15,1.6
"Oh My God",5,2,3,29.3,52,72,0.72,0.85,,"1.8%",,,,"20%",,,,,,"33%",,,"71%","49.3%","50.0%",3.47,1.11,1.42
"Royal Never Give Up",4,1,3,32.4,41,54,0.76,0.73,,"-0.3%",,,,"50%",,,,,,"47%",,,"57%","49.9%","50.1%",3.85,1.37,1.66
"Team WE",4,1,3,35.2,37,55,0.67,0.65,,"-2.8%",,,,"25%",,,,,,"37%",,,"33%","49.8%","46.4%",4.11,1.45,1.6
"Top Esports",13,5,8,30.9,171,204,0.84,0.93,,"-4.8%",,,,"46%",,,,,,"42%",,,"33%","49.4%","49.1%",3.66,1.52,1.51
"Weibo Gaming",9,5,4,32,128,126,1.02,0.88,,"0.4%",,,,"44%",,,,,,"47%",,,"53%","50.7%","52.6%",3.21,1.44,1.66